Prezime,Ime,OIB,MBG,OI,Adresa,Mjesto,Pbroj,Adr_rac,Tel,Mob,Mail,OMM,TM,OMM_adresa,OMM_Pbroj,OMM_mjesto,PROIZVOD,Dana,Agent
Ivančić,Luka,07580140500,5120660398724,996483037,Vukotinovićeva 79,Ivanja Reka,10373,"Biankinijeva 36, 10020 Zagreb-Novi Zagreb",,+385918432766,,5654167622,BIJELI,,,,IDEAL,3/9/2017,004
Perić,Ivano,81394763156,,884489356,Praška 14,Sesvete-Kraljevec,10361,,,+385918059419,Ivano.Peric@hotmail.com,9739730606,BIJELI,,,,KLASIK,1/10/2017,005
Brajković,Iva,14546284436,,684445046,Ulica Ivana Gorana Kovačića 32,Brezovica,10257,,+3851977848,+385912618152,,2219938778,PLAVI,,,,BONUS,1/19/2017,002
Grgić,Filip,94436836237,,,Biankinijeva 16,Sesvete-Kraljevec,10361,,,+385997036002,Filip.Grgic@yahoo.com,8004118091,BIJELI,,,,BONUS,4/2/2017,005
Mihaljević,Sara,06147440766,3275736460521,,Skalinska 89,Brezovica,10257,,,+385994559037,,8836353060,PLAVI,Branjugova 57,10020,Zagreb-Novi,IDEAL,4/19/2017,003
Klarić,Mia,11315950802,,,Ulica Ljudevita Posavskog 71,Sesvete,10360,,+3851607319,,,3344213872,BIJELI,,,,KLASIK,4/21/2017,004
Budimir,Sara,49492522094,,412344479,Palmotićeva 95,Lučko,10250,,+3851956683,,Sara.Budimir@hotmail.com,9778467917,PLAVI,,,,IDEAL,3/18/2017,005
Baričević,Jakov,72736411843,,449521212,Medvedgradska 83,Kašina,10362,,,+385911947819,,6697270201,BIJELI,,,,BONUS,1/22/2017,002
Mitrović,Matej,01603577166,8605973781579,,Bauerova 31,Donji Dragonožec,10253,"Skalinska 31, 10363 Belovar",,+385913992610,Matej.Mitrovic@yahoo.com,7844047515,BIJELI,,,,IDEAL,1/20/2017,004
Orešković,Sara,55053706984,2269517331391,,Praška 44,Sesvete-Kraljevec,10361,"Ljudevita Posavskog 3, 10253 Donji Dragonožec",,+385997477032,,8504783880,PLAVI,Huberta Pettana 18,10363,Belovar,IDEAL,4/13/2017,005
Filipović,Petar,36518130982,6451164216351,319561042,Dežmanova 2,Sesvete,10360,,,+385996313432,,7718275268,BIJELI,,,,IDEAL,1/23/2017,002
Perković,Iva,04942456762,,,Petrinjska 51,Hrvatski Leskovac,10251,,+3851591377,+385915011739,,8596039354,BIJELI,,,,IDEAL,1/20/2017,002
Mlinarić,Marta,32277719129,9401825459947,534188015,Petrinjska 54,Sesvete-Kraljevec,10361,,,+38599123534,Marta.Mlinaric@hotmail.com,1764312945,BIJELI,,,,IDEAL,2/8/2017,004
Jurković,Nika,49012670650,,456453857,Matice hrvatske 66,Sesvete-Kraljevec,10361,,,+385995242619,,2421878979,PLAVI,,,,IDEAL,2/9/2017,002
Mitrović,Mia,17078540260,,598514326,Ilica 47,Sesvete,10360,,,+385997469226,,3457963118,BIJELI,,,,KLASIK,3/31/2017,001
Marinović,Luka,24305237475,5978712497974,144552939,Plemićeva 93,Belovar,10363,,,+385998547472,,1068229736,PLAVI,,,,IDEAL,1/13/2017,002
Lončarić,Mia,05126276258,,961319732,Petrinjska 18,Donji Dragonožec,10253,,,+385916646771,,8369706376,BIJELI,,,,IDEAL,1/29/2017,003
Vidović,Lucija,63962782365,3186662904700,,Erdodyeva 15,Sesvete-Kraljevec,10361,,+3851972665,+385912015362,,7398999254,BIJELI,,,,IDEAL,4/9/2017,005
Milošević,Iva,78591132055,,616912769,Vodnikova 63,Ivanja Reka,10373,,,+385918268126,Iva.Milosevic@gmail.com,3179085002,BIJELI,,,,IDEAL,1/1/2017,003
Rukavina,Jakov,25784666388,,153460745,Utješinovićeva 40,Donji Dragonožec,10253,"Ivana Langa 55, 10000 Zagreb",,+385912413538,Jakov.Rukavina@yahoo.com,6368932585,PLAVI,,,,IDEAL,3/4/2017,004
Jurić,Petra,76624367807,,,Križanićeva 81,Sesvete-Kraljevec,10361,,,+385916677212,Petra.Juric@yahoo.com,4205476240,BIJELI,,,,BONUS,4/17/2017,001
Ivanković,Petar,09353101145,,,Tkalčićeva 11,Zagreb-Sloboština,10010,"Kaptol 19, 10361 Sesvete-Kraljevec",+3851640834,+385914469695,,8815283832,BIJELI,,,,BONUS,1/25/2017,005
Grgurić,Matej,50229681724,,,Ulica Vladimira Nazora 68,Sesvete-Kraljevec,10361,,+3851698440,+385918428916,,7533247417,BIJELI,,,,IDEAL,2/10/2017,002
Živković,Petar,11390590462,,,Huberta Pettana 14,Kašina,10362,,,+385912942315,,7057634682,PLAVI,Preradovićeva 44,10362,Kašina,IDEAL,2/12/2017,001
Tomić,Ivano,95102939423,2046228776675,,Mrazovićeva 21,Brezovica,10257,,+3851647819,+385915274390,,3174836637,BIJELI,,,,IDEAL,1/2/2017,004
Kovač,Iva,27184974467,9519931275039,354217863,Cesarčeva 69,Sesvete,10360,,+3851131795,,,7752168857,BIJELI,,,,IDEAL,1/30/2017,004
Starčević,Lucija,73033121271,7867355326557,786078529,Jurjevska 52,Hrvatski Leskovac,10251,,,+385998161949,Lucija.Starcevic@hotmail.com,2292983249,BIJELI,,,,IDEAL,2/18/2017,005
Vlahović,Leon,71221034313,,968174583,Ivana Langa 93,Belovar,10363,,+3851507406,,Leon.Vlahovic@gmail.com,3110532064,BIJELI,,,,IDEAL,4/11/2017,004
Jovanović,Ema,98492513326,3990001411503,209225151,Rooseveltov trg 28,Donji Dragonožec,10253,,+3851239783,+385912229426,Ema.Jovanovic@hotmail.com,9540237756,BIJELI,,,,BONUS,4/13/2017,003
Marković,Ema,44737654256,7183603329896,,Ilica 24,Donji Dragonožec,10253,,,+385992349979,Ema.Markovic@gmail.com,1747571929,BIJELI,,,,BONUS,1/18/2017,003
Sertić,Ana,60110647372,6609141957379,215869482,Ratkajev prolaz 80,Kašina,10362,,,+385998304180,,8028037974,CRVENI,,,,IDEAL,2/27/2017,005
Vidović,Marko,50235532631,5594301305352,,Škrlčeva 47,Brezovica,10257,"Štoosova 84, 10253 Donji Dragonožec",,+385916911925,Marko.Vidovic@gmail.com,3274461130,CRVENI,,,,IDEAL,3/2/2017,002
Vidović,Nika,06351524661,,961969378,Babukićeva 29,Kašina,10362,,,+38599226758,Nika.Vidovic@gmail.com,5671087045,BIJELI,,,,IDEAL,3/26/2017,001
Jurić,Ana,13302898087,9425530789353,,Klaićeva 93,Zagreb-Sloboština,10010,,+3851285972,,,5544465836,PLAVI,Trg maršala Tita 94,10257,Brezovica,IDEAL,1/29/2017,001
Jozić,Lucija,31874474458,9149294949511,611561362,Trg Dragutina Domjanića 97,Ivanja Reka,10373,,,+385916919089,,2524254486,CRVENI,,,,IDEAL,1/30/2017,003
Tolić,Nika,44689100089,,,Degenova 94,Sesvete-Kraljevec,10361,,+3851105916,+385917704543,Nika.Tolic@gmail.com,4595413703,BIJELI,Medulićeva 33,10360,Sesvete,IDEAL,1/21/2017,003
Bošnjak,Petra,82819892475,,,Ulica Republike Austrije 27,Sesvete,10360,,+3851967921,,Petra.Bosnjak@hotmail.com,8695981531,BIJELI,,,,IDEAL,3/5/2017,003
Galić,Ema,76630204172,,579884106,Žigrovićeva 55,Sesvete,10360,,+3851926126,+385911455222,,7231291071,BIJELI,,,,KLASIK,3/29/2017,004
Klarić,Ema,94826613005,4737281239639,280758455,Bogišićeva 14,Sesvete,10360,,+3851719474,+385918922737,Ema.Klaric@gmail.com,4184666147,PLAVI,,,,IDEAL,2/18/2017,001
Mikulić,Luka,86486149321,,,Livadićeva 72,Sesvete-Kraljevec,10361,,+3851299645,+385919045649,,3266842985,BIJELI,,,,IDEAL,2/8/2017,005
Stojanović,Matej,28203093545,8302132444579,,Lepušićeva 41,Sesvete-Kraljevec,10361,,,+38591979767,Matej.Stojanovic@yahoo.com,3712422612,PLAVI,,,,IDEAL,2/21/2017,002
Miletić,Ema,59255243916,,540233753,Skalinska 89,Brezovica,10257,,+3851538833,+385911292494,Ema.Miletic@gmail.com,1980175109,PLAVI,,,,IDEAL,3/15/2017,005
Golubić,Petar,26742297242,9442478909553,291764584,Krešimira Kovačevića 45,Sesvete-Kraljevec,10361,,,+385913703315,Petar.Golubic@gmail.com,8278110522,BIJELI,,,,BONUS,1/17/2017,002
Stanić,Petra,35793026843,,543031553,Vukotinovićeva 58,Zagreb-Dubrava,10040,,+3851659597,,Petra.Stanic@gmail.com,3808841613,PLAVI,,,,IDEAL,1/19/2017,002
Mandić,Marko,88808045949,2065325046343,165752772,Babukićeva 69,Sesvete,10360,,+3851936320,+38591238842,Marko.Mandic@gmail.com,4604120323,BIJELI,,,,IDEAL,1/9/2017,002
Dujmović,Filip,52203718592,,,Ulica Ljudevita Posavskog 16,Sesvete-Kraljevec,10361,,,+385915672228,,4769037512,BIJELI,,,,IDEAL,2/4/2017,002
Pejić,Sara,13196330981,7558184909294,,Tkalčićeva 6,Brezovica,10257,,,+385919158122,,1111587279,BIJELI,,,,KLASIK,3/12/2017,001
Posavec,Lucija,01330711655,,448106700,Heinzelova 41,Donji Dragonožec,10253,,+3851491463,,,7900053899,BIJELI,,,,IDEAL,4/26/2017,005
Marinović,Lucija,48353043808,7163470302489,470304450,Rokov perivoj 86,Zagreb-Novi Zagreb,10020,"Tuškanova 95, 10110 Zagreb",+3851949864,+385913951278,Lucija.Marinovic@yahoo.com,2496367891,PLAVI,,,,IDEAL,3/8/2017,001
Kolarić,Ana,76043353064,1628688841661,851544493,Primorska 59,Brezovica,10257,,,+38591633249,Ana.Kolaric@hotmail.com,1651293908,BIJELI,Štoosova 69,10361,Sesvete-Kraljevec,IDEAL,1/27/2017,002
Radić,Luka,98728793802,,,Trg bana J. Jelačića 33,Kašina,10362,,+3851785933,+385919409544,,4032365583,BIJELI,,,,KLASIK,4/8/2017,003
Lovrić,David,10139958758,1370128296241,370608701,Degenova 58,Zagreb-Novi Zagreb,10020,,,+385993117664,David.Lovric@hotmail.com,8371416250,BIJELI,,,,IDEAL,5/1/2017,003
Brajković,Filip,73730149467,4358270510362,868366607,Hebrangova 6,Zagreb-Sloboština,10010,,,+385993785373,,8289488044,BIJELI,,,,IDEAL,2/5/2017,005
Blažević,Ema,87909084671,9195857660651,,Jukićeva 73,Sesvete,10360,,+3851555634,,Ema.Blazevic@gmail.com,8152803562,PLAVI,,,,BONUS,2/12/2017,004
Pintarić,Lucija,09376426038,8096782617039,156749779,Tomićeva 74,Belovar,10363,,+3851400773,+385913526816,Lucija.Pintaric@yahoo.com,4848840761,BIJELI,,,,IDEAL,1/26/2017,003
Ivanović,Ivano,07723647985,,,Nemčićeva 33,Zagreb-Novi Zagreb,10020,,,+385912678376,Ivano.Ivanovic@hotmail.com,5491524671,BIJELI,,,,IDEAL,3/29/2017,001
Vidović,Lana,76278569047,,438904893,Krešimira Kovačevića 39,Brezovica,10257,,+3851283191,+385914652350,,8523387173,BIJELI,,,,IDEAL,4/19/2017,001
Vidović,Petra,54618433287,,639839512,Ulica Republike Austrije 35,Brezovica,10257,,,+385998412843,,1515938151,PLAVI,,,,IDEAL,4/21/2017,001
Horvatić,Leon,95703343566,,,Žigrovićeva 10,Kašina,10362,,,+38591729685,Leon.Horvatic@hotmail.com,3869794111,BIJELI,,,,IDEAL,4/10/2017,005
Medved,Marta,59416548145,7584150593216,616394340,Arnoldova 27,Sesvete-Kraljevec,10361,,,+385914898064,,9023335433,BIJELI,,,,KLASIK,2/9/2017,003
Horvat,Luka,97419952068,,788294400,Splavnica 35,Zagreb-Sloboština,10010,"Vlaška 29, 10251 Hrvatski Leskovac",,+38599934232,Luka.Horvat@gmail.com,2902524640,BIJELI,,,,IDEAL,2/22/2017,005
Kralj,Nika,29252322533,,,Ulica Elenore Patačić 17,Belovar,10363,"Rimski put 9, 10253 Donji Dragonožec",+3851113992,,,9406210323,PLAVI,,,,IDEAL,4/21/2017,005
Bačić,Petar,99288106001,,235552175,Ulica baruna Trenka 7,Zaprešić,10290,,,+385995832437,,4957036796,BIJELI,,,,IDEAL,1/17/2017,002
Milić,Marko,86445124854,,409240581,Obrtnički prolaz 5,Brezovica,10257,"Širolina 60, 10253 Donji Dragonožec",+3851304528,,Marko.Milic@hotmail.com,1637654103,BIJELI,,,,KLASIK,4/14/2017,001
Novak,Sara,03932292164,,423157799,Primorska 58,Sesvete-Kraljevec,10361,,+3851876422,,,5398853316,BIJELI,,,,IDEAL,4/20/2017,005
Filipović,Nika,75702310651,5453879780548,,Blažekova 44,Zagreb-Novi Zagreb,10020,,,+385911701254,Nika.Filipovic@yahoo.com,5277917999,CRVENI,,,,IDEAL,2/27/2017,004
Blažević,Petra,21103114239,,,Zrinjevac 9,Belovar,10363,"Runjaninova 27, 10362 Kašina",,+385992797009,,2806572621,BIJELI,,,,IDEAL,1/29/2017,002
Brajković,Marta,77495784710,,,Streljačka 81,Zagreb-Novi Zagreb,10020,"Šubićeva 51, 10010 Zagreb-Sloboština",,+385994513563,Marta.Brajkovic@gmail.com,9886043398,BIJELI,,,,BONUS,2/6/2017,001
Burić,Matej,60050672563,2859707380296,164602246,Banjavčićeva 79,Zagreb-Novi Zagreb,10020,,+3851355662,,Matej.Buric@hotmail.com,6870272381,BIJELI,,,,IDEAL,1/3/2017,003
Mandić,Lucija,47883014397,8552662719476,,Savska 1,Donji Dragonožec,10253,,+3851316378,+385919352522,,9586003463,BIJELI,,,,IDEAL,1/8/2017,004
Novak,Iva,66148476475,9166254151006,625774814,Deželićeva 70,Donji Dragonožec,10253,,,+385919252948,Iva.Novak@yahoo.com,9942541640,PLAVI,,,,IDEAL,4/15/2017,005
Marinović,Mia,68245337692,,,Ulica Bartola Kašića 10,Sesvete-Kraljevec,10361,,+3851645956,,,1758544891,BIJELI,,,,IDEAL,4/29/2017,001
Horvat,Petar,35142888118,,171286197,Vojnovićeva 100,Kašina,10362,,,+385995449284,Petar.Horvat@gmail.com,8293067054,BIJELI,,,,IDEAL,3/18/2017,004
Lučić,Mia,98634213286,7651138891440,421520273,Ulica Bartola Kašića 35,Brezovica,10257,,,+385996072187,,9784458288,PLAVI,,,,BONUS,3/28/2017,005
Popović,Filip,73167112292,6790568045236,317453719,Šubićeva 7,Donji Dragonožec,10253,,,+385917341467,,6179656298,PLAVI,,,,KLASIK,4/11/2017,005
Antunović,Luka,78268496236,,,Katančećeva 57,Sesvete-Kraljevec,10361,"Ulica kneza Mislava 4, 10362 Kašina",+3851792156,,,6569495956,PLAVI,,,,IDEAL,3/13/2017,001
Grubišić,Jakov,19358133597,3790819671250,,Hrvojeva 73,Zagreb-Susedgrad,10090,"Prolaz sestara Baković 100, 10360 Sesvete",,+385918941988,Jakov.Grubisic@gmail.com,6961545584,BIJELI,,,,BONUS,2/20/2017,001
Lovrić,Filip,93720186563,4021560044016,,Derenčinova 2,Brezovica,10257,,,+385994998382,Filip.Lovric@yahoo.com,8848702127,CRVENI,,,,BONUS,1/15/2017,003
Petrović,Matej,43716261056,,,Tkalčićeva 95,Brezovica,10257,,+3851856226,,Matej.Petrovic@yahoo.com,7895599543,BIJELI,,,,IDEAL,1/17/2017,004
Grgurić,Filip,54357120276,8022200659711,573965992,Ulica Bartola Kašića 48,Sesvete-Kraljevec,10361,,+3851895543,,,3871330965,BIJELI,,,,KLASIK,4/26/2017,004
Dujmović,Filip,23878228747,,855428382,Vodnikova 87,Donji Dragonožec,10253,"Ulica kneza Mutimira 58, 10290 Zaprešić",+3851297262,+385919904215,Filip.Dujmovic@yahoo.com,2001785971,BIJELI,,,,KLASIK,2/26/2017,005
Budimir,Marta,51254045067,,101240513,144. brigade Hrvatske vojske 96,Brezovica,10257,,,+385995239267,,8945324617,BIJELI,,,,BONUS,2/10/2017,004
Ljubić,Iva,19961044279,,442445886,Lopašićeva 18,Sesvete,10360,"Heinzelova 80, 10361 Sesvete-Kraljevec",+3851412632,,,7827567528,BIJELI,,,,IDEAL,2/1/2017,002
Jurić,Ivan,73973677528,,574778032,Obrtnički prolaz 1,Donji Dragonožec,10253,,,+385913978610,,2514729760,BIJELI,,,,KLASIK,4/28/2017,002
Vlahović,Petra,58685928834,8932313025103,,Križanićeva 67,Belovar,10363,,+3851553607,+385914152786,Petra.Vlahovic@yahoo.com,2044506629,BIJELI,,,,IDEAL,3/5/2017,004
Grgurić,Jakov,97782162145,6961628535776,,Botićev trg 28,Kašina,10362,,,+385996515732,Jakov.Grguric@yahoo.com,2016634583,BIJELI,,,,IDEAL,2/14/2017,001
Bošnjak,Ema,03632237307,,,Kožarska 28,Lučko,10250,"Splavnica 51, 10020 Zagreb-Novi Zagreb",,+385997839993,,4000221592,CRVENI,,,,BONUS,1/9/2017,002
Ivić,Marko,18266174153,,542855973,Derenčinova 26,Belovar,10363,,+3851815437,,,5461147281,PLAVI,,,,IDEAL,1/25/2017,005
Ivančić,Lucija,76271031975,,,Preradovićeva 53,Zaprešić,10290,"Fišerova 36, 10360 Sesvete",+3851731875,,,5845295064,BIJELI,,,,KLASIK,3/23/2017,001
Josipović,Lucija,94437309686,2158927048476,775009824,Ulica kralja Držislava 13,Zagreb-Novi Zagreb,10020,"Tvrtkova 98, 10020 Zagreb-Novi Zagreb",+3851717810,,Lucija.Josipovic@hotmail.com,5201866787,BIJELI,,,,IDEAL,4/15/2017,001
Marušić,Ema,53703615975,1599839632887,620499150,Trg Vladka Mačeka 100,Lučko,10250,"Matice hrvatske 55, 10000 Zagreb",,+385991817905,Ema.Marusic@hotmail.com,9772445071,BIJELI,,,,IDEAL,2/2/2017,005
Stanković,Petar,16667525532,,,Britanski trg 46,Kašina,10362,,+3851208186,+385917512945,,8062376168,CRVENI,,,,BONUS,3/30/2017,004
Pejić,Petra,42486505226,,,Branjugova 26,Brezovica,10257,"Švearova 63, 10253 Donji Dragonožec",+3851646561,,,1772839796,BIJELI,,,,IDEAL,1/20/2017,001
Josipović,Luka,27650645930,4497074079790,485464364,Bulićeva 66,Sesvete-Kraljevec,10361,,,+385912952967,,3415698204,BIJELI,,,,IDEAL,3/5/2017,003
Posavec,Leon,45692717987,,422476741,Ulica baruna Trenka 76,Kašina,10362,,+3851367193,,Leon.Posavec@hotmail.com,5844882324,PLAVI,,,,BONUS,4/23/2017,001
Topić,Mia,78812013726,,,Fabkovićeva 82,Zagreb-Novi Zagreb,10020,,,+385913853932,Mia.Topic@yahoo.com,1935079908,BIJELI,,,,KLASIK,3/20/2017,003
Topić,Petra,17111587091,,,Krajiška 20,Sesvete-Kraljevec,10361,,+3851580896,,,2458635183,CRVENI,,,,IDEAL,4/4/2017,002
Petrović,Lucija,67565136533,,355696675,Mikloušićeva 6,Belovar,10363,"Gundulićeva 31, 10251 Hrvatski Leskovac",+3851609475,+385917955428,,4641598578,BIJELI,,,,IDEAL,3/3/2017,001
ćosić,Petra,98977705556,3740716281123,667621394,Heinzelova 77,Kašina,10362,"Erdodyeva 1, 10361 Sesvete-Kraljevec",+3851257629,+385911608359,,6485742266,BIJELI,,,,IDEAL,4/11/2017,003
Vukić,David,79858809562,,455810794,Vladimira Stahuljaka 30,Belovar,10363,,,+38591499254,,6031268291,PLAVI,,,,IDEAL,1/6/2017,001
Mijatović,Petra,65530928673,,450846406,Katančećeva 18,Zagreb-Novi Zagreb,10020,,+3851694120,,,6075957968,BIJELI,,,,IDEAL,3/25/2017,001
Ljubičić,Jakov,30373394334,,,Obrtnički prolaz 53,Donji Dragonožec,10253,,+3851947232,+385917214213,,2749502538,BIJELI,,,,IDEAL,3/24/2017,003
Brkić,Ema,37542761756,5419122190055,195149874,Savska 82,Donji Dragonožec,10253,,+3851210712,,Ema.Brkic@yahoo.com,7621908864,BIJELI,,,,IDEAL,4/29/2017,002
Radić,Sara,21903026655,,109762984,Žigrovićeva 83,Sesvete,10360,,+3851876664,+385915435070,,2966389947,BIJELI,,,,IDEAL,3/16/2017,003
Brkić,Ivan,74048536394,7800451171954,,Vlaška 3,Zaprešić,10290,,,+385996753427,,3873345309,BIJELI,,,,IDEAL,3/22/2017,001
Novak,Ivano,79216394709,4787824262544,661909245,Trg Vladka Mačeka 82,Sesvete,10360,,,+385995679564,Ivano.Novak@yahoo.com,4064200071,BIJELI,,,,IDEAL,3/21/2017,003
Herceg,Petra,17502263393,3773343257580,,Bulićeva 81,Brezovica,10257,,+3851821819,+385917913800,,5251397333,BIJELI,,,,IDEAL,1/4/2017,004
Horvat,Matej,65602786282,4422599223985,,Mikloušićeva 16,Sesvete-Kraljevec,10361,,,+385999836912,Matej.Horvat@yahoo.com,8614073150,PLAVI,,,,IDEAL,1/10/2017,001
Poljak,Lana,59524156144,3258721213769,,Ulica kneza Trpimira 19,Kašina,10362,"Petrićeva 84, 10362 Kašina",+3851285756,+385914166829,,4188566116,BIJELI,Ulica Bartola Kašića 18,10110,Zagreb,IDEAL,3/12/2017,005
Matković,Nika,60649864651,,,Skalinska 87,Kašina,10362,,,+385915469602,Nika.Matkovic@gmail.com,5076981742,PLAVI,,,,IDEAL,1/15/2017,004
Knežević,Ivano,21247389183,7771400030851,860658190,Runjaninova 31,Sesvete-Kraljevec,10361,"Petra Dumičića 30, 10290 Zaprešić",+3851643642,+385914011866,,2935880012,PLAVI,,,,IDEAL,3/20/2017,001
Kralj,Filip,54763448105,,313968456,Ožegovićeva 98,Donji Dragonožec,10253,"Šubićeva 62, 10362 Kašina",,+385918875386,Filip.Kralj@gmail.com,7700653242,BIJELI,,,,BONUS,3/7/2017,002
Erceg,Ema,80422677548,,,Iblerov trg 24,Kašina,10362,"Tomićeva 43, 10361 Sesvete-Kraljevec",,+385919489425,,6491770779,BIJELI,,,,IDEAL,4/4/2017,004
Starčević,Marko,19060213328,1688152155441,,Kružićeva 60,Zagreb-Novi Zagreb,10020,"Heinzelova 19, 10361 Sesvete-Kraljevec",+3851810583,,,7635995726,BIJELI,Jagićeva 18,10360,Sesvete,IDEAL,3/6/2017,004
Brkić,Filip,33511469573,,720946635,Kašinska cesta 24,Sesvete-Kraljevec,10361,"Britanski trg 75, 10020 Zagreb-Novi Zagreb",,+385997198726,,8830767229,CRVENI,,,,IDEAL,1/19/2017,005
Erceg,Matej,59161758993,,435369199,Harmica 5,Belovar,10363,,,+385916375464,Matej.Erceg@gmail.com,3854356274,BIJELI,,,,IDEAL,2/9/2017,002
Rukavina,Sara,64229440691,,,Rokov perivoj 37,Belovar,10363,,,+385918504461,,7223549640,PLAVI,,,,IDEAL,2/3/2017,004
Sever,Ivan,39228966361,,,Račkoga 40,Zagreb-Novi Zagreb,10020,,,+385991016678,Ivan.Sever@hotmail.com,3909303868,CRVENI,,,,IDEAL,4/22/2017,001
Vuković,Nika,07070102712,,308718835,Savska 63,Sesvete-Kraljevec,10361,"Preradovićeva 77, 10257 Brezovica",,+385999521012,,7558441482,PLAVI,,,,IDEAL,3/24/2017,003
Anić,David,22812587316,,616492856,Prolaz sestara Baković 35,Ivanja Reka,10373,"Zavrtnica 49, 10020 Zagreb-Novi Zagreb",,+385919608883,,1846029931,BIJELI,,,,IDEAL,3/31/2017,002
Nikolić,David,22005534171,,,Rusanova 44,Zaprešić,10290,"Zvonimirova 28, 10253 Donji Dragonožec",+3851319592,,David.Nikolic@yahoo.com,5243613398,BIJELI,,,,BONUS,2/26/2017,003
Bašić,Jakov,56161351035,,295227223,Ivana Langa 62,Belovar,10363,"Ulica kneza Mislava 42, 10361 Sesvete-Kraljevec",+3851294422,+385912558649,Jakov.Basic@gmail.com,4596305438,BIJELI,Petrinjska 69,10257,Brezovica,IDEAL,3/17/2017,003
Vukelić,Mia,04298563427,,,Tuškanova 41,Sesvete,10360,,,+385913135117,,6696376814,PLAVI,,,,BONUS,1/3/2017,001
Franić,Marko,09808682387,,997882829,Ulica Bartola Kašića 26,Sesvete-Kraljevec,10361,,+3851694310,+385913417763,Marko.Franic@hotmail.com,7796917066,BIJELI,Trg maršala Tita 49,10020,Zagreb-Novi,KLASIK,3/5/2017,002
Zorić,Filip,41036373875,4395279445927,,Dragana Plemenca 54,Kašina,10362,"Tomašićeva 86, 10363 Belovar",,+38599279437,Filip.Zoric@hotmail.com,9741061345,BIJELI,,,,IDEAL,1/14/2017,005
Delić,Lana,33271497021,8525810466971,403325753,Runjaninova 51,Lučko,10250,,+3851519320,+385918005420,Lana.Delic@hotmail.com,8381480292,BIJELI,,,,IDEAL,1/4/2017,005
Kolarić,Sara,00219503044,,844814655,Đorđićeva 93,Kašina,10362,,+3851202405,+385911029395,Sara.Kolaric@hotmail.com,1278022546,BIJELI,,,,IDEAL,4/17/2017,005
Knežević,Nika,60076196037,,,Livadićeva 97,Lučko,10250,,+3851394794,,,1260859908,PLAVI,,,,IDEAL,3/19/2017,003
Abramović,Jakov,46247989639,,418868589,Jurišićeva 29,Kašina,10362,,,+385916336238,,2257434344,BIJELI,,,,BONUS,4/16/2017,002
Ivanković,Marta,62972484203,6923616084730,496110131,Rokov perivoj 93,Kašina,10362,,+3851171125,+385911988905,Marta.Ivankovic@yahoo.com,4206851419,BIJELI,Marulićev trg 22,10257,Brezovica,KLASIK,4/4/2017,001
Vlahović,Marko,92128121371,3836719268185,489268837,Trg Petra Krešimira IV. 73,Sesvete,10360,,,+385917877933,Marko.Vlahovic@yahoo.com,4874619647,CRVENI,,,,BONUS,3/16/2017,004
Bilić,Mia,77280395901,6808896184977,398267885,Hebrangova 31,Sesvete-Kraljevec,10361,"Brune Bjelinskog 56, 10363 Belovar",,+38591158231,,4787295725,PLAVI,,,,BONUS,3/8/2017,004
Barić,Ema,09392529416,4245460839276,,Heinzelova 47,Kašina,10362,,,+385997863860,,3610999780,PLAVI,,,,IDEAL,2/20/2017,005
Petričević,Matej,19951720735,8340204587748,,Palmotićeva 56,Sesvete,10360,,,+385994583270,,3019344205,PLAVI,,,,IDEAL,3/26/2017,003
Milić,Lucija,63262718270,1983322944355,470250694,Švearova 83,Zagreb,10000,,,+385992524503,,1970649971,PLAVI,,,,IDEAL,4/25/2017,003
Brkić,David,32250343233,3706077331653,,Ulica Izidora Kršnjavog 19,Sesvete,10360,,+3851700418,,David.Brkic@yahoo.com,3955292354,CRVENI,,,,IDEAL,4/11/2017,002
Majić,Leon,82265701685,4721786294270,,Ivana Langa 39,Sesvete-Kraljevec,10361,,,+385991285757,Leon.Majic@gmail.com,1575097098,BIJELI,,,,IDEAL,4/30/2017,001
Franić,Iva,56426685299,3571188051725,670833394,Tomićeva 18,Donji Dragonožec,10253,,,+38599440184,,7415596582,BIJELI,,,,IDEAL,4/11/2017,004
Rukavina,Petra,27634771175,,,Obrtnički prolaz 17,Kašina,10362,"Mihanovićeva 37, 10362 Kašina",,+38599943935,Petra.Rukavina@hotmail.com,4308311345,PLAVI,,,,IDEAL,3/3/2017,004
Delić,Lana,11251146581,,698179980,Preradovićeva 84,Belovar,10363,,+3851811564,,,8819875838,BIJELI,,,,BONUS,2/26/2017,003
Jakšić,Jakov,91861180431,,896141786,Gajeva 6,Zagreb-Sloboština,10010,,+3851514878,,Jakov.Jaksic@yahoo.com,2379350614,PLAVI,,,,IDEAL,3/24/2017,002
Ivanković,Petra,14582170702,,,Mrazovićeva 94,Sesvete-Kraljevec,10361,"Žigrovićeva 30, 10361 Sesvete-Kraljevec",+3851157915,,,7349296407,BIJELI,,,,BONUS,4/29/2017,001
Barić,Ivano,69223622772,3427047533467,506244269,Zavojna 72,Sesvete,10360,"Žigrovićeva 10, 10251 Hrvatski Leskovac",,+38599988552,,1128046269,BIJELI,,,,IDEAL,2/25/2017,004
Ivančić,Filip,19762453840,,346089751,Ulica kralja Držislava 10,Zagreb,10000,,,+385916413274,Filip.Ivancic@gmail.com,1634856572,PLAVI,,,,IDEAL,1/1/2017,004
